fixed_vignette,polarity,trait,vignette,sentence,verb,verb_object,verb_and_object,valence,bagOfWords,Intent,Meaning,Context Meaning,score
"You giving up the things you want to do, and deciding to do the things your friends want to do.",positive,cooperative,"Giving up the things you want to do, and deciding to do the things your friends want to do.",you giving things want deciding things friends want,giving,giving you, ,7.73,to be there,"[['none'], ['happy'], ['mean'], ['healthy'], ['have', 'fun'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression'], ['do', 'something', 'else']]","['judicial', 'vig', 'big', 'indifference', 'advertising', 'important', 'neglect', 'capitalism', 'city', 'governance', 'pair', 'touch', 'touched', 'agreed', 'die', 'audit', 'who', 'relation', 'delivered', 'level', 'draw', 'send', 'stand', 'name', 'style', 'styling', 'play', 'suit', 'suited', 'pledge', 'pick', 'enough', 'discord', 'desire', 'sick', 'desired', 'desiring', 'ikebana', 'pesticide', 'idealism', 'herald', 'heralding', 'famine', 'gamine', 'supply', 'appreciation', 'blacking', 'naturism', 'decision', 'jury', 'vote', 'key', 'judgment', 'arbitration', 'justice', 'deliberate', 'taste', 'lot', 'arbitrament', 'arbitrement', 'error', 'cotton', 'representative', 'pack', 'book', 'faculty', 'dainty', 'formation', 'sleep', 'moment', 'testing', 'think', 'booking', 'books', 'tail', 'report', 'review', 'reviewing', 'means', 'set', 'single', 'hold', 'mutual', 'examination', 'test', 'carton', 'replevy', 'looks', 'choice', 'occasion', 'communicate', 'differential', 'judge', 'objective', 'accede', 'auditing', 'sober', 'sobering', 'buy', 'hand']","{'giving deciding do things want your': ['draw', 'decision', 'city', 'move', 'pick', 'world', 'mind', 'act', 'mean', 'compare', 'judicial', 'option', 'vig', 'reality', 'moves', 'vote', 'think', 'justice', 'pack', 'return', 'testing', 'means', 'examination', 'occasion', 'test', 'choice', 'set', 'habit', 'hand', 'irresponsibility', 'relation', 'strength', 'level', 'hard', 'custom', 'delivered', 'purpose', 'charge', 'pair', 'right', 'rights', 'power', 'handing', 'wau', 'action', 'count', 'agreed', 'touch', 'enough', 'powered']}",0.73
"You doing a project, even if it's not your idea.",positive,cooperative,"Doing a project, even if it's not your idea.",you project even idea,doing,you, ,5.41,a new job,"[['none'], ['happy'], ['mean'], ['have', 'fun'], ['eat'], ['@@UNKNOWN@@'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['do', 'something', 'else']]","['can', 'design', 'abortion', 'designed', 'air', 'flies', 'fly', 'germ', 'herm', 'plan', 'payout period', 'cans', 'cna', 'airs', 'evens', 'affront', 'first', 'venal', 'cliche', 'hang', 'over', 'put', 'stick', 'sticks', 'will', 'cool', 'head', 'base', 'bubble', 'mine', 'abstract', 'attack', 'attacking', 'attacks', 'cast', 'develop', 'development', 'estimate', 'float', 'folly', 'image', 'inception', 'kink', 'nonstarter', 'outline', 'persevere', 'plot', 'purpose', 'reference', 'something', 'think', 'this', 'thunk', 'all', 'feel', 'file', 'hand', 'lay', 'leave', 'leaving', 'push', 'turn', 'turned', 'want', 'outlined', 'proponent', 'achievement', 'act', 'action', 'acy', 'agent', 'barn', 'beamer', 'blow', 'booking', 'books', 'carry', 'cause', 'closure', 'construction', 'control', 'crash', 'dall', 'daylight', 'departure', 'diary', 'direct', 'drive', 'drop', 'endurance', 'engineering', 'enterprise', 'extrapolate', 'fall', 'falls', 'flash', 'follow', 'foot', 'full', 'game']","{""doing even if it 's not your"": ['obstruction', 'elbowing', 'cooperation', 'fruit', 'bill', 'option', 'move', 'snap', 'nepotism', 'hand', 'bet', 'life', 'fact', 'act', 'base', 'draft', 'root', 'pun', 'sight', 'gas', 'rout', 'entrapment', 'morality', 'blizzard', 'basket', 'gun', 'guns', 'pictogram', 'cigarette', 'precinct', 'credit insurance', 'estimation', 'narcolepsy', 'boredom', 'accidental', 'vault', 'else', 'all', 'agnosticism', 'shall', 'wau', 'mine', 'turn', 'taboo', 'credit', 'fosterage', 'then', 'emulator', 'file', 'smap']}",0.65
You going with friends to a club that doesn't play your type of music.,positive,cooperative,Going with friends to a club that doesn't play your type of music.,you going friends club play type music,going,going you, ,6.32,to do something else,"[['none'], ['mean'], ['win'], ['happy'], ['gamble'], ['have', 'fun'], ['the', 'best'], ['make', 'fun'], ['a', 'good', 'friend'], ['make', 'a', 'good', 'impression']]","['swing', 'band', 'chorus', 'hold', 'disco', 'honkytonk', 'golf', 'gang', 'visited', 'glee', 'rock', 'jam', 'entertain', 'performance', 'crowd', 'busk', 'aaa', 'crowding', 'orchestra', 'piece', 'rap', 'entry', 'open', 'scene', 'soul', 'house', 'upping', 'ups', 'cast', 'ring', 'rings', 'rave', 'enter', 'flat', 'round', 'combine', 'rhythm', 'choir', 'rounds', 'group', 'strip', 'rocks', 'funk', 'drop', 'get', 'carry', 'visit', 'tune', 'banded', 'march', 'first', 'symphony', 'direct', 'pop', 'piano', 'turn', 'move', 'catch', 'compose', 'field', 'flied', 'entrance', 'directing', 'directionally', 'side', 'choral', 'kind', 'bring', 'alliance', 'piecing', 'trio', 'kiss', 'parish', 'fall', 'falls', 'stand', 'dall', 'golf club', 'jazz', 'pipe', 'bandy', 'strum', 'quintet', 'night', 'overtime', 'tabor', 'ear', 'rar', 'improvise', 'finger', 'score', 'pipes', 'nightclub', 'touch', 'iron', 'tempered', 'vehicle', 'yard', 'concert', 'flute']","{'going club play type of': ['golf', 'glee', 'night', 'aaa', 'goodwill', 'iron', 'yard', 'overtime', 'jigger', 'eleven', 'bandy', 'sand wedge', 'selaginella', 'business', 'golf club', 'nightclub', 'ear', 'varsity', 'hang', 'peel', 'comedy', 'honkytonk', 'full employment', 'truncheon', 'match play', 'strip', 'drama', 'drive', 'scene', 'set', 'open', 'enter', 'stick', 'piece', 'face', 'drop', 'resort', 'fore', 'return', 'initiate', 'entry', 'gang', 'slice', 'draw', 'swing', 'hole', 'lead', 'matter', 'round', 'situation']}",0.72
You doing half of the household chores.,positive,cooperative,Doing half of the household chores.,you half household chores,doing,you, ,5.41,to be helpful,"[['none'], ['help'], ['helpful'], ['healthy'], ['make', 'money'], ['a', 'good', 'friend'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression'], ['have', 'a', 'good', 'time'], ['get', 'a', 'good', 'job']]","['home', 'ritual', 'domestic', 'housework', 'housekeeping', 'brownie', 'servants', 'homemakers', 'housewives', 'chore', 'char', 'maid', 'footman', 'hinge', 'casual labor', 'crest', 'herald', 'heralding', 'introduction', 'joiner', 'latchkey child', 'mural', 'occupation', 'organiser', 'organizer', 'pda', 'personal digital assistant', 'personal organiser', 'personal organizer', 'potboiler', 'scratch', 'sleek', 'stereotype', 'telecommuting', 'finisher', 'butler', 'help', 'pine', 'lace', 'task', 'appliance', 'housekeeper', 'scullion', 'architecture', 'cast', 'casted', 'coupling', 'dedication', 'detail', 'floor', 'function', 'gland', 'graft', 'ground', 'grounded', 'handicraft', 'have', 'include', 'job', 'motor', 'tapestry', 'turret', 'betty', 'feed', 'iron', 'ironed', 'ironing', 'master', 'mastering', 'wash', 'drudge', 'servant', 'charring', 'turn', 'turned', 'chambermaid', 'potboy', 'potman', 'dos', 'assign', 'fag', 'idle', 'later', 'mind', 'mindfulness', 'read', 'see', 'toil', 'baf', 'bones', 'bsd', 'cerebral dominance', 'cotter', 'episode', 'halftime', 'handle', 'mezzo-relievo', 'mine', 'mullock', 'ravelin']","{'doing half of the household': ['washday', 'washing day', 'keep', 'page', 'help', 'set', 'keeps', 'casual labor', 'finish', 'into', 'service', 'talk', 'equipage', 'eunuch', 'house', 'housing', 'serve', 'life', 'mode', 'point', 'all', 'any', 'contract', 'fines', 'habit', 'move', 'moves', 'passage', 'rattle', 'rattled', 'rattling', 'touch', 'touched', 'wau', 'consumer', 'fool', 'pan', 'life guards', 'bath', 'blackguard', 'economy', 'wash', 'riot', 'strength', 'flax', 'half-life', 'igloo', 'piciformes', 'terce', 'pottery']}",0.72
You cleaning up after one's self after eating so the next guy has a pleasant experience.,positive,cooperative,Cleaning up after one's self after eating so the next guy has a pleasant experience.,you cleaning one self eating next guy pleasant experience,cleaning,cleaning you, ,7.09,to relax,"[['none'], ['a', 'good', 'friend'], ['help'], ['a', 'good', 'person'], ['have', 'fun'], ['the', 'best'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['make', 'someone', 'happy'], ['make', 'the', 'other', 'person', 'happy']]","['take', 'medicine', 'rapture', 'clear', 'wipe', 'air', 'cleaned', 'fines', 'airs', 'face', 'play', 'treat', 'address', 'rub', 'set', 'wear', 'prepare', 'person', 'act', 'settle', 'look', 'keep', 'feed', 'bulimia', 'brush', 'debauch', 'swab', 'taste', 'preen', 'good', 'exercise', 'sharp', 'sport', 'launder', 'make', 'pride', 'smart', 'finger', 'dress', 'sponge', 'wash', 'fall', 'lave', 'fasting', 'revenge', 'dall', 'falls', 'suicide', 'mount', 'blow', 'abuse', 'strength', 'use', 'get', 'serve', 'draw', 'mate', 'dip', 'dog', 'master', 'touch', 'mastering', 'lead', 'pass', 'cycle', 'turn', 'conscience', 'book', 'hold', 'leave', 'keeps', 'lick', 'aut', 'practicing', 'think', 'out', 'bathe', 'posture', 'break', 'living', 'round', 'big', 'refer', 'shake', 'right', 'short', 'cut', 'conscious', 'work', 'deal', 'steal', 'sit', 'discover', 'move', 'noncommittal', 'pull', 'banquet', 'time', 'familiarize', 'eschew']","{'cleaning eating has the next': ['dress', 'brush', 'scrubber', 'rinse', 'cleaned', 'clear', 'dust', 'janitor', 'kipper', 'scrape', 'sponge', 'wash', 'finish', 'mess', 'bath', 'card', 'cards', 'clean', 'cleaner', 'dry', 'groom', 'launder', 'preen', 'scour', 'scoured', 'scouring', 'scrubbing', 'soap', 'steam', 'washing', 'seal', 'barbarism', 'busk', 'butler', 'feeder', 'grass carp', 'grocer', 'medicine', 'placebo', 'sanatorium', 'consumer', 'feed', 'take', 'cycle', 'sealed', 'sealing', 'credence', 'donor', 'exhaust', 'remora']}",0.72
You leaving when asked to leave.,positive,cooperative,Leaving when asked to leave.,you leaving asked leave,leaving,leaving you, ,,to stay where they are,"[['none'], ['mean'], ['happy'], ['have', 'fun'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['with', 'person'], ['a', 'good', 'friend'], ['get', 'away'], ['have', 'a', 'relationship']]","['guardrail', 'excuse', 'excusing', 'exit', 'farewell', 'parting', 'egress', 'banish', 'banishing', 'square', 'subjunctive', 'quit', 'set', 'put', 'after', 'keeps', 'keep', 'abandon', 'abandoning', 'away', 'bail', 'deliver', 'delivered', 'depart', 'deserter', 'devise', 'devising', 'discharge', 'discharged', 'discharging', 'embargo', 'escape', 'escaped', 'except', 'exceptionally', 'fallow', 'forsake', 'forsaken', 'forsaking', 'get', 'iff', 'intestate', 'left', 'let', 'lets', 'letting', 'off', 'option', 'part', 'pff', 'run', 'runs', 'share', 'start', 'testate', 'valediction', 'choose', 'choosing', 'clock', 'cutoff', 'departure', 'done', 'from', 'frome', 'grom', 'hold', 'lateral', 'pilot', 'reason', 'reasoned', 'release', 'releasing', 'spring', 'subject', 'testator', 'testatrix', 'third', 'turnover', 'balk', 'balking', 'between', 'blanch', 'blanched', 'departing', 'going', 'leaves', 'pardon', 'pardoned', 'scar', 'shove', 'starting', 'strand', 'stranded', 'stranding', 'stump', 'tarry', 'tip', 'went', 'come', 'demand']","{'leaving asked to': ['keep', 'keeps', 'put', 'quit', 'set', 'after', 'abandon', 'abandoning', 'air', 'all', 'alternative', 'apron', 'away', 'bail', 'balk', 'balking', 'between', 'bias', 'biased', 'big', 'blanch', 'blanched', 'blank check', 'but', 'careen', 'careening', 'cautionary', 'choose', 'choosing', 'clock', 'cutoff', 'deliver', 'delivered', 'depart', 'departing', 'departure', 'deserter', 'det', 'devise', 'devising', 'discharge', 'discharged', 'discharging', 'done', 'dut', 'embargo', 'escape', 'escaped', 'except', 'exceptionally']}",0.64
You fitting in with the group and helping come down to decisions.,positive,cooperative,Fitting in with the group and helping come down to decisions.,you fitting group helping come decisions,helping,helping fitting, ,6.95,to relax,"[['none'], ['mean'], ['have', 'fun'], ['happy'], ['with', 'persony'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['hurt', 'the', 'other', 'person'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression']]","['rally', 'synod', 'ration', 'facility', 'stepping', 'senate', 'fifth wheel', 'recess', 'center', 'pattern', 'patterning', 'buffer', 'buffing', 'tabulator', 'norm', 'policy', 'tribunal', 'gig', 'principal', 'complaint', 'console', 'fic', 'fix', 'hospice', 'hand', 'bak', 'nack', 'rule', 'ruled', 'train', 'back', 'let', 'assembly', 'key', 'keying', 'keys', 'bloc', 'take', 'union', 'justification', 'right', 'rights', 'truss', 'measure', 'jack', 'them', 'handing', 'steps', 'sight', 'representative', 'accommodate', 'dall', 'fall', 'falls', 'rent', 'lead', 'balance', 'open', 'aging', 'bond', 'panel', 'screen', 'steer', 'steers', 'radar', 'switch', 'vernier', 'base', 'enter', 'pass', 'run', 'posse', 'green', 'greens', 'party', 'type', 'chorus', 'nucleus', 'accommodation', 'guide', 'gang', 'backroom', 'democracy', 'eurozone', 'majority rule', 'advisory capacity', 'majoritarianism', 'congregate', 'meet', 'stocking', 'congregating', 'wisdom', 'collect', 'collecting', 'gather', 'allowance', 'escalator', 'means', 'mouth', 'parasite']","{'fitting helping come down to': ['bermuda shorts', 'fall', 'falls', 'dall', 'sink', 'first', 'snorkel', 'ski', 'collapse', 'back', 'fell', 'let', 'lets', 'letting', 'light', 'lower', 'pass', 'pitch', 'pitched', 'tumble', 'descend', 'land', 'leotard', 'piston', 'coming', 'shoot', 'unitard', 'meet', 'drop', 'shot', 'snorkeling', 'tights', 'body suit', 'cat suit', 'deerstalker', 'stocking', 'fetch', 'old', 'set', 'crash', 'dismount', 'get', 'rain', 'stoop', 'teem', 'drops', 'pike', 'staying', 'return', 'condescend']}",0.69
You doing what you are told to do by someone in a position of authority.,positive,cooperative,Doing what you are told to do by someone in a position of authority.,you told someone position authority,doing,you, ,5.41,to inform y about x's preference,"[['none'], ['mean'], ['happy'], ['win'], ['succeed'], ['do', 'well'], ['do', 'something'], ['do', 'something', 'else'], ['make', 'a', 'good', 'impression'], ['make', 'the', 'other', 'person', 'happy']]","['will', 'commander', 'influence', 'bobol', 'know', 'knows', 'parvenu', 'chair', 'recognise', 'recognize', 'acknowledge', 'placed', 'placing', 'mistress', 'parvenue', 'rat', 'rats', 'nepotism', 'account', 'nouveau-riche', 'decree', 'bribe', 'hierarch', 'command', 'office', 'deposition', 'figurehead', 'station', 'subject', 'better', 'return', 'plea', 'post', 'transfer', 'transferee', 'appointment', 'control', 'head', 'man', 'edict', 'lodge', 'principal', 'vest', 'tey', 'they', 'kingfish', 'procuration', 'enthrone', 'commission', 'level', 'official', 'order', 'power', 'vetter', 'returning', 'returns', 'qualify', 'qualifying', 'trust', 'initiate', 'over', 'best', 'cathedral', 'high', 'page', 'before', 'chairman', 'assignment', 'oost', 'posted', 'posture', 'posturing', 'promote', 'stationing', 'stations', 'tenure', 'tenured', 'benching', 'snooker', 'officer', 'carpet', 'special agent', 'restored', 'queer', 'fill', 'lordship', 'principality', 'suzerainty', 'plant', 'invest', 'dominance', 'mother', 'prefecture', 'responsible', 'seated', 'seats', 'seigniory', 'important', 'authorize', 'baton']","{'doing told someone position of': ['venal', 'will', 'parvenu', 'bribe', 'drop', 'keep', 'plan', 'caste', 'station', 'appointment', 'snooker', 'post', 'trust', 'continue', 'continuing', 'posture', 'posturing', 'stationing', 'stations', 'parvenue', 'nouveau-riche', 'prevent', 'fill', 'page', 'disapproval', 'deposition', 'dethronement', 'reinstatement', 'infiltrator', 'acting', 'bist', 'bust', 'busting', 'keeps', 'blame', 'oblige', 'age limit', 'pathological', 'block', 'forbid', 'shanghai', 'wrong', 'interrupt', 'virtue', 'filk', 'fills', 'blamed', 'transferee', 'degrade', 'fixture']}",0.78
You not running from a policeman when they try to pull you over.,positive,cooperative,Not running from a policeman when they try to pull you over.,you running policeman try pull,running,running you, ,6.53,to not go,"[['none'], ['mean'], ['have', 'fun'], ['happy'], ['win'], ['with', 'someone'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['get', 'to', 'the', 'other', 'person']]","['pulling', 'indian wrestling', 'american football', 'beat', 'beats', 'police', 'round', 'rounds', 'separated', 'trap', 'trapped', 'trapping', 'take', 'separate', 'elude', 'taser', 'ranked', 'ranking', 'return', 'bogey', 'administer', 'administering', 'make', 'cursitor', 'exigenter', 'refer', 'scrivener', 'issue', 'mak', 'forces', 'dispatch', 'factor', 'license', 'order', 'secondary', 'secretary', 'career', 'travel', 'commission', 'group', 'force', 'wagon', 'interview', 'eluding', 'aaa', 'burn', 'close', 'dispatching', 'getaway', 'guide', 'guided', 'guiding', 'mandate', 'portfolio', 'send', 'sending', 'staff', 'hack', 'hacking', 'arrest', 'strong', 'jerk', 'racewalking', 'american football game', 'ganz system', 'patrol', 'patrolled', 'duty', 'law', 'cop', 'patrolman', 'dog', 'nix', 'bull', 'associate', 'bridge', 'bridged', 'bridging', 'returning', 'returns', 'fugitive', 'wash', 'erosion', 'cross', 'beak', 'brak', 'apposer', 'attorney-general', 'bailiff', 'bloodhound', 'bottomry', 'butler', 'churchwarden', 'entitle', 'entitlement', 'exception', 'exhibit', 'harbor master', 'knapsack', 'lam']","{'running try to you over': ['ripple', 'rippled', 'football', 'search', 'course', 'purl', 'run', 'trace', 'frisk', 'babble', 'brawl', 'jurisdiction', 'american football', 'racewalking', 'american football game', 'cream', 'orienteering', 'conversion', 'slide', 'stepping', 'steps', 'thumb', 'traces', 'court', 'courting', 'goal', 'redo', 'angle', 'move in', 'overcast', 'pusher', 'cavalier', 'enjambment', 'gallinule', 'hurdle', 'loggerhead', 'scotchman', 'enjambement', 'manger', 'bunny', 'canter', 'cantering', 'curb', 'lambent', 'step', 'ultramarathon', 'discursive', 'run over', 'timenoguy', 'chain pump']}",1.04
You coming to a mutual agreement.,positive,cooperative,Coming to a mutual agreement.,you coming mutual agreement,coming,coming you, ,5.64,to save money.,"[['none'], ['have', 'fun'], ['social'], ['with', 'someone'], ['socialize'], ['meet', 'someone'], ['friendly'], ['make', 'someone', 'happy'], ['have', 'a', 'good', 'time'], ['have', 'a', 'party']]","['compromise', 'concert', 'negotiation', 'compromised', 'compromising', 'composition', 'separation', 'come', 'transaction', 'appointment', 'covenant', 'understanding', 'explanation', 'novation', 'bargain', 'correspondence', 'indenture', 'negotiate', 'pool', 'resonance', 'stipulation', 'rapport', 'logrolling', 'agree', 'bargaining', 'cartel', 'conjunction', 'consent', 'consultation', 'deal', 'dialogue', 'sympathy', 'trust', 'trusted', 'unity', 'separate', 'agreements', 'enlist', 'hear', 'settled', 'term', 'court', 'pact', 'appoint', 'executory', 'bloc', 'consensus', 'truce', 'conciliation', 'legal separation', 'settlement', 'tryst', 'consentaneity', 'mediator', 'meet', 'close', 'between', 'touch', 'touched', 'call', 'confluence', 'liaison', 'get', 'meeting', 'communicate', 'consensual', 'contract', 'entente', 'meets', 'unite', 'future', 'arrival', 'attention', 'bringing', 'concourse', 'conjugation', 'eclipse', 'encounter', 'gather', 'gathered', 'harbinger', 'series', 'sight', 'sights', 'south', 'spin', 'sudden', 'axis', 'correlation', 'league', 'partnership', 'reciprocal', 'wavelength', 'concurrence', 'advance', 'after', 'answer', 'convention', 'draft', 'enter']","{'coming to a mutual': ['agreement', 'between', 'call', 'close', 'come', 'confluence', 'contact', 'interference', 'liaison', 'meet', 'touch', 'touched', 'coupling', 'caring', 'growth', 'negotiation', 'organic', 'recognition', 'talk', 'omaha', 'separation', 'access', 'advance', 'adventitious', 'after', 'ahead', 'answer', 'approximation', 'arrival', 'arriving', 'assemble', 'assembled', 'assembly', 'astral', 'attention', 'back', 'back-to-back', 'bagpipes', 'banked', 'bringing', 'collect', 'collected', 'collision', 'combined', 'compiled', 'concourse', 'concretion', 'confluent', 'congregation', 'congress']}",0.67
